SETTD,Actual,ARIMA,ARIMA (Walk-Forward)
2019-05-16,5764082.824,5669124.585524779,5715677.652142082
2019-05-17,5918075.622,5669124.585526565,5740565.027760854
2019-05-18,5267313.804,5669124.585528044,5866895.343720771
2019-05-19,5019385.362,5669124.585529268,5333151.5470498195
2019-05-20,5692633.793,5669124.585530279,5129733.256842144
2019-05-21,5642282.5479999995,5669124.585531117,5681892.846897245
2019-05-22,5513042.352999999,5669124.58553181,5640606.888405244
2019-05-23,5490733.417,5669124.585532384,5534621.628677639
2019-05-24,5605063.0,5669124.585532859,5516314.883939826
2019-05-25,4830251.011,5669124.585533252,5610060.092077101
2019-05-26,5347597.728999998,5669124.585533576,4974650.31432385
2019-05-27,6974170.083,5669124.585533844,5398881.183095576
2019-05-28,7101337.536,5669124.585534068,6732225.449532788
2019-05-29,7577903.05,5669124.585534252,6836954.809246769
2019-05-30,7729016.207,5669124.585534405,7228905.404722114
2019-05-31,7083965.293,5669124.585534532,7354086.617191319
2019-06-01,6068833.115,5669124.585534636,6824309.899811068
2019-06-02,6074144.8379999995,5669124.585534722,5991103.217797733
2019-06-03,7583465.715,5669124.585534792,5995508.743639466
2019-06-04,7434836.296,5669124.585534852,7234109.322401386
2019-06-05,7348459.07,5669124.5855349,7112688.371004008
2019-06-06,6809078.004,5669124.585534941,7042324.961621674
2019-06-07,6344625.325,5669124.585534975,6599473.978066664
2019-06-08,5734325.357000003,5669124.585535003,6218299.470588347
2019-06-09,5342529.573,5669124.585535025,5717559.690240834
2019-06-10,5376566.78,5669124.585535044,5396145.360818264
2019-06-11,6155194.425,5669124.585535061,5424039.775566043
2019-06-12,6433355.442000003,5669124.585535074,6062738.716934985
2019-06-13,6275883.267999997,5669124.585535085,6291034.016211267
2019-06-14,6299941.323,5669124.585535094,6161917.746570401
2019-06-15,6000174.69,5669124.585535102,6181742.731874232
2019-06-16,5889783.24,5669124.585535107,5935849.793531036
2019-06-17,6705599.66,5669124.585535113,5845320.921778329
2019-06-18,7364571.87,5669124.5855351165,6514711.7520745685
2019-06-19,7655401.336,5669124.58553512,7056232.216380115
2019-06-20,7913994.631,5669124.585535124,7296152.124460015
2019-06-21,7596580.2710000025,5669124.585535126,7510128.884646905
2019-06-22,6988195.649,5669124.585535128,7249606.055536155
2019-06-23,7409942.241,5669124.5855351295,6749297.54873653
2019-06-24,7927856.494,5669124.585535131,7096796.661334236
2019-06-25,7836930.9679999985,5669124.585535131,7524455.793818906
2019-06-26,7439037.427,5669124.585535131,7450588.33464039
2019-06-27,7009704.787000001,5669124.585535131,7123164.243470296
2019-06-28,6271463.001,5669124.585535131,6769713.1737209605
2019-06-29,5990020.74,5669124.585535131,6161892.301892431
2019-06-30,6058967.2370000025,5669124.585535131,5930331.9496056065
2019-07-01,7175122.1379999975,5669124.585535131,5987104.406743348
2019-07-02,7090941.823,5669124.585535131,6905949.806087814
2019-07-03,6904114.578,5669124.585535131,6836995.16881583
2019-07-04,7280213.658,5669124.585535131,6683381.437933997
2019-07-05,7054741.095,5669124.585535131,6993715.523368589
2019-07-06,5943180.679,5669124.585535131,6808221.335673755
2019-07-07,5887535.581,5669124.585535131,5892598.847926087
2019-07-08,6452831.716,5669124.585535131,5846822.915395917
2019-07-09,6848213.57,5669124.585535131,6312198.662843089
2019-07-10,6931664.708,5669124.585535131,6637984.089498364
2019-07-11,7384404.71,5669124.585535131,6707018.791579677
2019-07-12,7110957.977999999,5669124.585535131,7080702.457362132
2019-07-13,6959715.9739999985,5669124.585535131,6855584.531455045
2019-07-14,7242407.417,5669124.585535131,6731188.472253918
2019-07-15,7532929.294,5669124.585535131,6964761.818800569
2019-07-16,7226947.882,5669124.585535131,7205205.162572893
2019-07-17,7353007.171,5669124.585535131,6953029.326783468
2019-07-18,7170230.102000001,5669124.585535131,7057649.351977178
2019-07-19,6808695.86,5669124.585535131,6907124.980689055
2019-07-20,6056448.446,5669124.585535131,6608839.063316263
2019-07-21,5942583.955,5669124.585535131,5988117.257642145
2019-07-22,6826684.027000003,5669124.585535131,5894230.488180782
2019-07-23,6967429.262,5669124.585535131,6623628.436434919
2019-07-24,7213338.7760000015,5669124.585535131,6740086.817069484
2019-07-25,7014480.997,5669124.585535131,6943563.2099838015
2019-07-26,7060453.734,5669124.585535131,6779628.013272289
2019-07-27,6086019.794,5669124.585535131,6817946.742995344
2019-07-28,6020284.2710000025,5669124.585535131,6013319.434269167
2019-07-29,6782594.442000003,5669124.585535131,5959113.751907732
2019-07-30,7117140.864,5669124.585535131,6588339.865553217
2019-07-31,7430637.864,5669124.585535131,6864947.20018653
2019-08-01,7218502.656,5669124.585535131,7124574.57466488
2019-08-02,7010434.918,5669124.585535131,6949632.073360414
2019-08-03,6366503.597,5669124.585535131,6777953.284356452
2019-08-04,6289650.517000001,5669124.585535131,6245941.740609907
2019-08-05,6812247.767000001,5669124.585535131,6182543.779969621
2019-08-06,7524862.652000003,5669124.585535131,6614394.634706684
2019-08-07,7152507.204,5669124.585535131,7204039.200982092
2019-08-08,7384121.1110000005,5669124.585535131,6896377.094036592
2019-08-09,8153366.408,5669124.585535131,7088505.767017592
2019-08-10,7668823.9470000025,5669124.585535131,7726777.003743362
2019-08-11,7242314.534,5669124.585535131,7325823.990797204
2019-08-12,7754138.865,5669124.585535131,6972901.293806212
2019-08-13,7565828.696,5669124.585535131,7397754.992931343
2019-08-14,7370075.488,5669124.585535131,7242303.042126854
2019-08-15,7276349.784,5669124.585535131,7080524.36843713
2019-08-16,7072285.905,5669124.585535131,7003275.750542735
2019-08-17,5942329.6039999975,5669124.585535131,6834416.956643459
2019-08-18,6060992.991,5669124.585535131,5898159.779758248
2019-08-19,7521062.2,5669124.585535131,5996440.989821411
2019-08-20,7150118.772999999,5669124.585535131,7205896.709488897
2019-08-21,6626205.182,5669124.585535131,6898747.626137228
2019-08-22,6733957.719,5669124.585535131,6464788.769168462
2019-08-23,6739401.121,5669124.585535131,6554214.818503915
2019-08-24,5965455.949,5669124.585535131,6558907.592687568
2019-08-25,6067609.669,5669124.585535131,5917907.9899598695
2019-08-26,6883138.363,5669124.585535131,6002517.839206008
2019-08-27,6836861.6,5669124.585535131,6677967.46085911
2019-08-28,7463465.596,5669124.585535131,6639848.062173377
2019-08-29,7210021.425,5669124.585535131,7159675.03895187
2019-08-30,6976176.277000003,5669124.585535131,6949875.683873052
2019-08-31,5797512.6,5669124.585535131,6756246.519848714
2019-09-01,5660741.539,5669124.585535131,5779537.58017931
2019-09-02,6088343.802,5669124.585535131,5666281.464366009
2019-09-03,5556963.042,5669124.585535131,6020387.708753442
2019-09-04,5651699.6060000025,5669124.585535131,5580382.843425751
2019-09-05,5506717.743,5669124.585535131,5658817.130639758
2019-09-06,5914214.3889999995,5669124.585535131,5538762.4538687
2019-09-07,6109043.2639999995,5669124.585535131,5876163.399462829
2019-09-08,6380779.6510000015,5669124.585535131,6037512.4784158515
2019-09-09,7271594.515,5669124.585535131,6262600.17952748
2019-09-10,6649148.279,5669124.585535131,7000840.686721491
2019-09-11,6075594.529,5669124.585535131,6485091.6127137765
2019-09-12,5937773.9789999975,5669124.585535131,6010111.099549652
2019-09-13,5819504.75,5669124.585535131,5896027.969492156
2019-09-14,4819184.694,5669124.585535131,5798124.521519844
2019-09-15,5076432.41,5669124.585535131,4969957.613184494
2019-09-16,6103512.645,5669124.585535131,5182885.110492032
2019-09-17,6294666.488,5669124.585535131,6033007.133042339
2019-09-18,5950261.544,5669124.585535131,6191271.333930887
2019-09-19,5298729.4,5669124.585535131,5906258.931233984
2019-09-20,4837218.297,5669124.585535131,5367110.308266621
2019-09-21,4467588.113,5669124.585535131,4985086.5083642155
2019-09-22,4828496.704,5669124.585535131,4678853.738663325
2019-09-23,5985078.502,5669124.585535131,4977586.0001726365
2019-09-24,6124935.631,5669124.585535131,5934732.380671609
2019-09-25,5885741.235,5669124.585535131,6050476.666087195
2019-09-26,5357014.025,5669124.585535131,5852608.4996937085
2019-09-27,5219544.62,5669124.585535131,5415210.459830537
2019-09-28,5036389.054,5669124.585535131,5301441.318972069
2019-09-29,4993439.774,5669124.585535131,5149835.980853395
2019-09-30,6030581.529,5669124.585535131,5114211.724964732
