ds,Actual,Prophet,Prophet (Walk-Forward)
2019-04-10,5425019.87,5131800.214443272,5231009.190776161
2019-04-11,5127091.771000002,5144278.018822352,5266465.964521501
2019-04-12,5063998.391,4983959.3028665045,5118048.666147397
2019-04-13,4510730.704,4339692.901135329,4453524.120010281
2019-04-14,4246244.032,4213825.475056127,4335482.534861721
2019-04-15,4891026.351,4959000.826460954,5070721.617658585
2019-04-16,5094639.891,5029376.274037853,5124781.178465216
2019-04-17,5397204.949,5072807.771156455,5162058.574914096
2019-04-18,4769114.6280000005,5089430.763067494,5188896.5291984435
2019-04-19,3975759.208,4948928.893053189,5055701.129696555
2019-04-20,3918375.255,4337430.698305357,4408378.840652138
2019-04-21,3848386.4460000005,4253532.307150747,4319817.16293484
2019-04-22,4126558.329,5045626.744337735,5093970.151126966
2019-04-23,4889017.17,5163668.837217819,5192782.619133936
2019-04-24,4869106.4569999995,5251859.370919388,5280555.281133429
2019-04-25,4323241.373,5307616.118558155,5347482.394999808
2019-04-26,5253234.323,5199080.0763188265,5236781.661060297
2019-04-27,5054750.271000002,4612073.7819398325,4654089.693238108
2019-04-28,4918482.9569999995,4546009.355630463,4614809.596015646
2019-04-29,5583997.199,5350948.959036712,5432376.097844562
2019-04-30,5371363.783,5478988.078000197,5568950.9803404305
2019-05-01,5055002.118,5576500.574016387,5661913.559879782
2019-05-02,5062608.289,5642675.2422018675,5720455.907290618
2019-05-03,4973931.97,5546653.292190205,5631220.5103708375
2019-05-04,4846041.898,4974236.027335341,5033579.965200764
2019-05-05,4919476.231000002,4923697.4901012145,4981765.571992071
2019-05-06,5633232.967,5742921.924345019,5784894.70732254
2019-05-07,5610002.489,5881031.362048044,5917956.7185943145
2019-05-08,5866443.036,5981015.345779024,6010230.173675564
2019-05-09,6133333.436000003,6038746.820605518,6068018.4358083075
2019-05-10,6434975.967,5920634.49092423,5975519.917498342
2019-05-11,5607099.876,5310815.393088466,5378479.281737976
2019-05-12,5225233.373,5207358.376929947,5298417.104719963
2019-05-13,5731186.8620000025,5959643.494963087,6037755.633334912
2019-05-14,5614953.955,6020043.759254295,6088487.948061158
2019-05-15,5733754.164,6036403.428378348,6098649.757934527
2019-05-16,5764082.824,6010702.620641264,6069428.613627285
2019-05-17,5918075.622,5816187.837156063,5889688.0742599
2019-05-18,5267313.804,5143922.162421968,5209532.849771122
2019-05-19,5019385.362,4998291.373783265,5072863.976642709
2019-05-20,5692633.793,5733704.973897513,5790338.887316736
2019-05-21,5642282.5479999995,5805693.001260032,5856562.626302775
2019-05-22,5513042.352999999,5862959.308241943,5904203.240721254
2019-05-23,5490733.417,5905832.286980449,5939592.764225212
2019-05-24,5605063.0,5803422.59960211,5847610.516880078
2019-05-25,4830251.011,5240446.839606117,5268538.441792675
2019-05-26,5347597.728999998,5213232.767187168,5242517.0216337405
2019-05-27,6974170.083,6067100.64243721,6091422.573193675
2019-05-28,7101337.536,6248257.546160845,6291418.574109078
2019-05-29,7577903.05,6396688.468437101,6466067.161398653
2019-05-30,7729016.207,6505403.216340315,6617797.3136986485
2019-05-31,7083965.293,6438270.215175525,6601806.044712559
2019-06-01,6068833.115,5877329.192460853,6042625.688893661
2019-06-02,6074144.8379999995,5819049.864207341,5986134.884234166
2019-06-03,7583465.715,6611705.959122082,6759955.968898459
2019-06-04,7434836.296,6707002.086336583,6862872.33471123
2019-06-05,7348459.07,6752463.428496002,6907946.424687533
2019-06-06,6809078.004,6749996.25150211,6904140.973913534
2019-06-07,6344625.325,6572916.838622688,6726216.074371456
2019-06-08,5734325.357000003,5912418.099027012,6030690.845980211
2019-06-09,5342529.573,5773021.113797636,5863590.00918468
2019-06-10,5376566.78,6509255.993281947,6571855.914514394
2019-06-11,6155194.425,6576772.179637387,6589657.347711272
2019-06-12,6433355.442000003,6624432.513911793,6626535.634099682
2019-06-13,6275883.267999997,6652821.214730961,6657388.446098717
2019-06-14,6299941.323,6531461.793899959,6551634.311916944
2019-06-15,6000174.69,5945689.70498718,5968721.721786989
2019-06-16,5889783.24,5892682.783678071,5933036.982452151
2019-06-17,6705599.66,6718834.876623291,6760452.254144044
2019-06-18,7364571.87,6871605.30058136,6930373.014950452
2019-06-19,7655401.336,6992329.2915879255,7077400.531693399
2019-06-20,7913994.631,7075355.481316093,7185039.769217885
2019-06-21,7596580.2710000025,6985753.275505923,7139675.967534067
2019-06-22,6988195.649,6406497.2808474,6572226.158713512
2019-06-23,7409942.241,6334612.472898193,6509912.344754106
2019-06-24,7927856.494,7118465.255903333,7290047.292510954
2019-06-25,7836930.9679999985,7209350.848392693,7387085.04370455
2019-06-26,7439037.427,7253895.20787357,7425668.892736639
2019-06-27,7009704.787000001,7252681.766097893,7408639.37034497
2019-06-28,6271463.001,7077396.378640916,7218851.728996816
2019-06-29,5990020.74,6417449.320079224,6505015.266012459
2019-06-30,6058967.2370000025,6275606.004214862,6341148.087818658
2019-07-01,7175122.1379999975,7004851.766703184,7043542.405664012
2019-07-02,7090941.823,7059670.532496668,7097380.991534881
2019-07-03,6904114.578,7088272.479278717,7126952.70437679
2019-07-04,7280213.658,7091185.036894998,7134361.878179973
2019-07-05,7054741.095,6938492.776850482,7008440.133569755
2019-07-06,5943180.679,6316667.186913271,6395853.868357227
2019-07-07,5887535.581,6224492.8258680375,6313901.523619692
2019-07-08,6452831.716,7010285.6510736,7094577.139605626
2019-07-09,6848213.57,7123552.419005778,7193813.7435449995
2019-07-10,6931664.708,7207596.643797705,7282839.53484857
2019-07-11,7384404.71,7258459.256911851,7335880.0228168685
2019-07-12,7110957.977999999,7142458.218021807,7240972.551980739
2019-07-13,6959715.9739999985,6543252.424931572,6632179.676454277
2019-07-14,7242407.417,6457926.5573407505,6562668.658122367
2019-07-15,7532929.294,7234288.203155501,7342108.499654673
2019-07-16,7226947.882,7322526.449794551,7428176.728142071
2019-07-17,7353007.171,7367741.6079897,7457294.628007259
2019-07-18,7170230.102000001,7368741.499601166,7458919.38752819
2019-07-19,6808695.86,7195378.307329768,7285261.3822674
2019-07-20,6056448.446,6535363.097220069,6606298.84768237
2019-07-21,5942583.955,6390068.171625564,6452993.525691343
2019-07-22,6826684.027000003,7111523.744805082,7147886.703018298
