SETTD,DAILYT
2015-07-27,7902408.786
2015-07-28,7284694.364
2015-07-29,7229906.962999999
2015-07-30,7916851.552
2015-07-31,7387895.802999998
2015-08-01,6921572.659
2015-08-02,6564985.427
2015-08-03,7854516.752
2015-08-04,8153089.586
2015-08-05,7976535.135
2015-08-06,7916729.256
2015-08-07,7430124.631
2015-08-08,6610532.318
2015-08-09,6601236.287000001
2015-08-10,7173741.871
2015-08-11,7222681.863
2015-08-12,7107125.498
2015-08-13,7210280.397999999
2015-08-14,6699441.85
2015-08-15,5851940.415
2015-08-16,5987639.347
2015-08-17,7187377.336
2015-08-18,7595200.716
2015-08-19,7246030.462999999
2015-08-20,6910180.461
2015-08-21,6452810.074
2015-08-22,5224151.896000002
2015-08-23,5297042.856000002
2015-08-24,6680637.19
2015-08-25,6852590.344
2015-08-26,6591101.9070000015
2015-08-27,7145276.697000002
2015-08-28,6900771.3089999985
2015-08-29,6671236.506
2015-08-30,6115978.915
2015-08-31,7087507.345
2015-09-01,6538001.322000002
2015-09-02,6509396.86
2015-09-03,6470254.58
2015-09-04,6433419.853999998
2015-09-05,5662282.743
2015-09-06,5740634.012999998
2015-09-07,7089049.642000001
2015-09-08,6931666.797
2015-09-09,6639555.764
2015-09-10,6136120.147999999
2015-09-11,5842110.332
2015-09-12,4889177.032
2015-09-13,4397284.388
2015-09-14,5046786.946
2015-09-15,5378520.547
2015-09-16,5677423.81
2015-09-17,5975625.125
2015-09-18,6033903.221
2015-09-19,4983550.851
2015-09-20,4495156.594
2015-09-21,5747661.5929999985
2015-09-22,6404406.534
2015-09-23,6456969.595
2015-09-24,6415425.98
2015-09-25,5825898.653
2015-09-26,4917324.779
2015-09-27,4583619.027
2015-09-28,5391963.288
2015-09-29,5606557.549
2015-09-30,5608945.156
2015-10-01,5370129.444
2015-10-02,4435821.265
2015-10-03,4328210.587
2015-10-04,4306233.448
2015-10-05,5599612.927
2015-10-06,5779443.986000001
2015-10-07,4940710.183
2015-10-08,4984050.177
2015-10-09,5177495.821
2015-10-10,4585657.752
2015-10-11,4280300.4339999985
2015-10-12,5102163.622
2015-10-13,5015931.268
2015-10-14,5149839.181
2015-10-15,5750143.392000001
2015-10-16,5085429.506
2015-10-17,4264317.31
2015-10-18,4121801.723
2015-10-19,4983911.4169999985
2015-10-20,5282565.451
2015-10-21,5149854.704
2015-10-22,5242240.587
2015-10-23,5110425.384
2015-10-24,4338478.5589999985
2015-10-25,4369688.116
2015-10-26,5120515.586
2015-10-27,4978807.536
2015-10-28,5035858.617
2015-10-29,5125723.136
2015-10-30,5101509.326
2015-10-31,4404001.715
2015-11-01,4233728.141
2015-11-02,4798043.632
2015-11-03,4150923.648
2015-11-04,5106991.619
2015-11-05,5215836.32
2015-11-06,5155523.768999998
2015-11-07,4371415.482
2015-11-08,4186415.964
2015-11-09,5461001.654
2015-11-10,5134271.353
2015-11-11,5026919.261
2015-11-12,4994373.978
2015-11-13,4915408.7
2015-11-14,4284896.8780000005
2015-11-15,4132732.968
2015-11-16,5068308.532
2015-11-17,5419547.8829999985
2015-11-18,5391772.582
2015-11-19,5830833.228999998
2015-11-20,5034706.904
2015-11-21,4248171.45
2015-11-22,4075122.604
2015-11-23,4867068.606000002
2015-11-24,4953731.871
2015-11-25,5343630.654
2015-11-26,4958798.531
2015-11-27,4953293.523
2015-11-28,4218885.768
2015-11-29,4101927.352
2015-11-30,5274053.608
2015-12-01,4988004.953
2015-12-02,4838098.017
2015-12-03,4887053.911
2015-12-04,5348918.355
2015-12-05,4703564.12
2015-12-06,4563261.9410000015
2015-12-07,5486267.239
2015-12-08,6224396.092
2015-12-09,5318081.436000002
2015-12-10,5180313.938
2015-12-11,4927983.596
2015-12-12,4183011.378
2015-12-13,4181790.396
2015-12-14,5055429.67
2015-12-15,5239195.891
2015-12-16,5825921.232000002
2015-12-17,7157997.375
2015-12-18,7532697.85
2015-12-19,7716820.557
2015-12-20,6552022.299
2015-12-21,5003158.375
2015-12-22,4940356.9180000005
2015-12-23,5356951.015
2015-12-24,6149978.2179999985
2015-12-25,5759981.826
2015-12-26,3950850.928
2015-12-27,3537252.628
2015-12-28,3663190.89
2015-12-29,4090507.675
2015-12-30,5037502.463
2015-12-31,6572550.366
2016-01-01,4683409.892
2016-01-02,4144130.925
2016-01-03,4041606.415
2016-01-04,4616195.881
2016-01-05,4741002.102
2016-01-06,4803918.8160000015
2016-01-07,4601059.409
2016-01-08,4433185.577
2016-01-09,3947555.76
2016-01-10,4404195.216
