,Actual,SARIMA (weekly),SARIMA (Yearly),SARIMAX,SARIMAX (Walk-Forward)
2019-07-21,5942583.955,5036079.119618964,6882589.75,6529524.545639429,6159618.105285501
2019-07-22,6826684.027000003,5767066.8767215805,6431509.5660000015,7247470.619131805,6829216.263938831
2019-07-23,6967429.262,5803789.746340952,7794673.557999997,7250761.036937455,6994938.449527867
2019-07-24,7213338.7760000015,5871682.1806835,7516623.244,7314987.122315399,7106303.505858685
2019-07-25,7014480.997,5918540.275246103,7168641.095000002,7388112.618807305,7292217.72512286
2019-07-26,7060453.734,5798030.290884111,7120908.244,7298708.526523811,7037732.632458815
2019-07-27,6086019.794,5163916.672929201,6563698.494,6635566.203369169,6464214.667209409
2019-07-28,6020284.2710000025,5036079.119623492,5676640.4810000025,6482960.8611677755,6152744.43754748
2019-07-29,6782594.442000003,5767066.876725559,6001625.64,7194592.7387238825,6858543.658733116
2019-07-30,7117140.864,5803789.746344448,7446409.418,7191615.582219966,6939765.837972726
2019-07-31,7430637.864,5871682.180686572,7135747.165000001,7249626.424860907,7184362.753518914
2019-08-01,7218502.656,5918540.275248802,6824918.665,7316594.663425116,7407204.970181168
2019-08-02,7010434.918,5798030.290886483,6989950.347999997,7221096.888363758,7147808.2454088805
2019-08-03,6366503.597,5163916.672931286,6788660.873000002,6551929.978911029,6392041.966667409
2019-08-04,6289650.517000001,5036079.119625323,6255785.622,6393374.593176182,6308311.016036682
2019-08-05,6812247.767000001,5767066.876727168,5738217.134,7099136.335255533,7006901.630961721
2019-08-06,7524862.652000003,5803789.746345863,6951458.1910000015,7090374.229776869,6928169.4590112725
2019-08-07,7152507.204,5871682.180687815,7214736.945,7142690.495790146,7429970.392666128
2019-08-08,7384121.1110000005,5918540.275249895,7150169.089,7204059.617672328,7175278.525850467
2019-08-09,8153366.408,5798030.290887443,7411345.337,7103063.169693992,7216670.363547407
2019-08-10,7668823.9470000025,5163916.672932129,6344081.48,6428502.905717123,7128100.510453345
2019-08-11,7242314.534,5036079.119626065,6203371.4920000015,6264664.244001013,7153546.639910668
2019-08-12,7754138.865,5767066.876727819,6451346.845,6965257.429160621,7611287.670203579
2019-08-13,7565828.696,5803789.746346435,6923887.828,6951446.001695778,7540072.958726132
2019-08-14,7370075.488,5871682.180688318,6461243.4,6998836.567010926,7410749.582171792
2019-08-15,7276349.784,5918540.275250336,6431916.3029999975,7055407.8615988325,7284160.139173657
2019-08-16,7072285.905,5798030.290887832,6787217.917,6949745.573041405,7115495.045043341
2019-08-17,5942329.6039999975,5163916.67293247,6563886.006,6270655.425302265,6355200.301281044
2019-08-18,6060992.991,5036079.119626365,6349663.01,6102426.659293054,5926389.444054818
2019-08-19,7521062.2,5767066.876728083,7126161.457,6798773.190762772,6752313.138828603
2019-08-20,7150118.772999999,5803789.7463466665,7900052.659999998,6780862.075933132,7321970.562649388
2019-08-21,6626205.182,5871682.180688521,7617677.482999997,6824303.276804175,7064983.251315165
2019-08-22,6733957.719,5918540.275250515,7232656.387,6877078.723807786,6713434.443528033
2019-08-23,6739401.121,5798030.290887989,6960329.435,6767777.132466335,6680385.412237337
2019-08-24,5965455.949,5163916.672932608,6692308.347999997,6085207.0855348725,6054054.706603839
2019-08-25,6067609.669,5036079.119626486,5991930.265,5913660.510612518,5879241.857404934
2019-08-26,6883138.363,5767066.876728189,6146976.52,6606853.83527565,6705833.2680054605
2019-08-27,6836861.6,5803789.746346761,7218237.712,6585956.450159059,6817039.325013988
2019-08-28,7463465.596,5871682.180688603,7675056.161,6626580.4719122,6775109.431136049
2019-08-29,7210021.425,5918540.275250588,7628943.622,6676709.803710821,7216972.998424449
2019-08-30,6976176.277000003,5798030.290888052,8133479.2179999985,6564934.949983635,6938340.4582489235
2019-08-31,5797512.6,5163916.672932664,7187858.265,5880066.096834614,6147765.822136557
2019-09-01,5660741.539,5036079.119626535,6460464.44,5706396.588148465,5701069.413602013
2019-09-02,6088343.802,5767066.876728232,6517802.327000001,6397644.079433573,6364529.147757303
2019-09-03,5556963.042,5803789.746346799,7109163.072999999,6374978.999829972,6208079.240145994
2019-09-04,5651699.6060000025,5871682.180688636,6689283.409,6414014.31421064,5847067.152880339
2019-09-05,5506717.743,5918540.2752506165,6056089.607000003,6462734.583057311,5909889.8025004715
2019-09-06,5914214.3889999995,5798030.2908880785,5832580.211,6349730.776771079,5704070.299923473
2019-09-07,6109043.2639999995,5163916.672932686,6030736.875,5663813.355898819,5338381.712164099
2019-09-08,6380779.6510000015,5036079.119626555,5506546.362000002,5489275.747263043,5834562.139406272
2019-09-09,7271594.515,5767066.87672825,5382556.788,6179835.498049388,6771770.331491515
2019-09-10,6649148.279,5803789.746346814,5834077.129,6156662.738278893,6926249.349429017
2019-09-11,6075594.529,5871682.180688649,5321638.818,6195369.943592712,6513892.845736681
2019-09-12,5937773.9789999975,5918540.275250629,5275880.823,6243940.996029552,6120108.873866259
2019-09-13,5819504.75,5798030.290888089,5357285.742,6130965.999454945,5933000.604491627
2019-09-14,4819184.694,5163916.672932696,5129732.723000001,5445254.361121963,5222873.428286055
2019-09-15,5076432.41,5036079.119626563,5522972.188999998,5271098.269349324,4898661.865842908
2019-09-16,6103512.645,5767066.876728257,5811676.335999999,5962213.849369161,5823738.726424359
2019-09-17,6294666.488,5803789.74634682,5993193.5210000025,5939769.62776946,6053067.839587489
2019-09-18,5950261.544,5871682.180688655,6083592.7979999995,5979376.29745635,6191005.139029174
2019-09-19,5298729.4,5918540.275250633,6168522.653,6029015.7808139315,5958173.447329465
2019-09-20,4837218.297,5798030.290888093,6076685.861000001,5917276.04771782,5423014.702990321
2019-09-21,4467588.113,5163916.672932699,5665605.123,5232964.199878864,4471048.678834217
2019-09-22,4828496.704,5036079.119626566,4895997.156,5060369.95149966,4589465.564421561
2019-09-23,5985078.502,5767066.87672826,5331647.664,5753206.788292486,5588425.837622874
2019-09-24,6124935.631,5803789.746346823,6087534.071,5732640.43527988,5906937.654341872
2019-09-25,5885741.235,5871682.180688657,6359914.915,5774278.625298969,6001568.189863592
2019-09-26,5357014.025,5918540.275250635,5882339.562999999,5826100.165882994,5833117.207480701
2019-09-27,5219544.62,5798030.290888095,5302528.074,5716689.7611717405,5384249.619287722
2019-09-28,5036389.054,5163916.672932701,5286483.868,5034851.100322639,4667162.21129741
2019-09-29,4993439.774,5036079.119626567,5324278.533,4864870.342400311,4918956.204826774
2019-09-30,6030581.529,5767066.876728261,5087114.459,5560457.2797881,5647488.942729442
