,SETTD,PROFILEAREA,DAILYT,VAL01,VAL02,VAL03,VAL04,VAL05,VAL06,VAL07,VAL08,VAL09,VAL10,VAL11,VAL12,VAL13,VAL14,VAL15,VAL16,VAL17,VAL18,VAL19,VAL20,VAL21,VAL22,VAL23,VAL24,VAL25,VAL26,VAL27,VAL28,VAL29,VAL30,VAL31,VAL32,VAL33,VAL34,VAL35,VAL36,VAL37,VAL38,VAL39,VAL40,VAL41,VAL42,VAL43,VAL44,VAL45,VAL46,VAL47,VAL48,DCTC
150,01/05/2014,CITIPOWER,6092459.772999999,102504.67300000001,90480.25,82013.041,75648.817,72032.207,69644.276,68417.548,67417.241,67413.582,68592.261,72044.531,78220.185,92865.757,113115.448,130167.528,143252.167,146777.809,145477.887,145600.559,143705.669,142806.359,141095.204,140493.697,139909.053,141053.649,141734.169,142886.046,142529.022,142276.911,141698.074,140252.64800000002,139689.409,142008.973,146282.566,154110.296,164511.837,171780.62,173815.92899999997,170983.31600000002,167210.863,162627.14,158133.06900000002,151683.14,142770.057,136150.52,131176.50400000002,128268.653,119130.61300000001,MRIM
151,02/05/2014,CITIPOWER,6247405.848999999,104672.464,92719.92,83804.939,77571.143,73491.282,70699.86200000001,68834.62400000001,68032.811,67834.43,68260.056,71508.994,77331.369,91035.52699999999,110108.683,125590.502,139321.00699999998,145873.01,146602.049,150771.603,152654.50400000002,154844.342,155391.824,156344.509,154633.073,155263.072,155125.34900000002,155900.15,154147.103,153140.736,150377.117,146959.79,145542.69,147902.652,151126.328,156197.56,166046.164,171407.396,171270.987,166854.958,162128.486,157304.41,152410.076,146511.92,140223.77300000002,136965.425,135017.083,134174.814,127475.28300000001,MRIM
152,03/05/2014,CITIPOWER,5515043.9,113028.925,100176.62599999999,90137.631,82853.196,77882.481,74550.337,72387.81,70619.79,69719.7,69449.12400000001,70366.703,71496.207,75675.351,81189.51,86166.505,95600.75,104893.469,111881.362,117730.39,119755.48800000001,123233.511,125611.16699999999,123643.80699999999,121335.51199999999,118062.957,116142.382,119057.78199999999,118127.345,119422.45800000001,124292.01199999999,124874.616,127495.98800000001,135114.89800000002,138284.405,145080.973,155207.012,163254.516,162283.14800000002,157301.202,152412.929,147454.55800000002,143588.014,138882.286,133609.083,132060.875,132132.889,133303.423,128212.79699999999,MRIM
153,04/05/2014,CITIPOWER,5852192.5770000005,115475.094,102924.02,92876.694,85378.804,79922.79400000001,75908.091,73642.557,71833.069,71002.364,70154.04400000001,70920.739,71832.11099999999,75094.005,78954.378,81433.2,90657.35,101203.995,109725.92800000001,116161.69300000001,122610.05900000001,127170.591,129610.962,132937.141,133411.568,131526.388,133341.89800000002,133859.12099999998,134047.506,133141.171,134812.061,138147.42,140645.082,140666.128,147417.797,159415.091,171452.13600000003,180064.928,181249.96,177916.902,173358.758,168629.38,163802.24,156564.926,146715.39,139306.953,133523.816,129892.24,121854.034,MRIM
154,05/05/2014,CITIPOWER,6532366.149,108980.244,97223.495,88103.93400000001,81107.12,76253.005,73258.98,71580.19,70522.25200000001,69822.161,70520.953,74032.645,79849.87599999999,94466.204,114887.46699999999,132859.565,147191.709,152155.202,153654.995,156984.548,158062.06,159340.865,158799.187,160238.68300000002,161200.313,163028.12699999998,161479.56699999998,162660.039,158267.904,157456.425,152505.077,146648.113,149125.36,152982.542,156150.677,161350.555,172603.49399999998,182886.642,186841.69100000002,184030.33,180005.431,174650.866,169730.583,162800.983,152518.631,143150.301,136771.363,131593.42,122032.375,MRIM
155,06/05/2014,CITIPOWER,6493715.9860000005,107351.43199999999,95506.977,86257.391,79883.884,75758.026,73197.781,71700.716,70737.37700000001,70567.101,71240.667,74917.803,81179.333,96612.75,117211.291,135075.366,149615.02300000002,154045.642,155090.47400000002,157313.93,158114.136,159314.285,160187.552,153487.545,153669.361,153544.521,152183.065,150480.37099999998,151387.952,148141.559,144014.08800000002,143822.228,145985.991,149441.922,156570.77800000002,162384.053,175935.28,185602.728,188504.322,186677.737,182926.447,177336.34399999998,172286.651,165209.797,155164.728,144579.468,137283.53,132631.174,123585.409,MRIM
156,07/05/2014,CITIPOWER,6385016.64,108880.127,96440.237,87078.915,80721.187,76365.231,73424.418,71898.711,71229.155,71220.19,72363.568,75874.05,82216.497,97164.33,118373.20300000001,135671.856,149364.512,151810.468,148416.666,148747.094,148954.449,149817.794,149221.294,149119.015,148465.582,149205.851,147626.81699999998,147137.143,146073.294,144073.196,141734.856,139478.914,139444.866,141354.33,146667.095,155209.737,169337.99,179438.181,183933.267,182753.67,180376.99399999998,176396.111,172274.80899999998,167076.896,157776.105,149218.08800000002,141757.268,136608.68099999998,127223.93199999999,MRIM
157,08/05/2014,CITIPOWER,6507758.101,113030.148,100797.511,91278.623,84839.34800000001,80756.539,77981.76299999999,76445.867,75717.89,75678.1,76803.543,80704.872,87976.56,104567.439,128485.70800000001,148082.917,163381.542,167499.524,165819.99800000002,165117.434,163133.584,160293.466,157046.093,154041.783,150391.75199999998,148296.406,145276.542,144664.71,142342.169,139885.275,137557.619,135833.978,135683.48,137245.245,141683.992,150135.691,165091.036,174991.725,179253.081,178942.919,176523.583,173691.425,170372.943,164883.94199999998,156516.913,148979.884,142971.079,138159.833,128902.627,MRIM
158,09/05/2014,CITIPOWER,6299815.99,114104.631,101535.54,91489.21699999999,85119.80099999999,80738.299,77404.336,75800.225,74668.147,74736.735,75365.955,79062.88900000001,86165.354,101834.36,123524.321,141640.58800000002,157145.158,162908.527,160119.94,157523.395,155400.68,156069.816,154359.91199999998,153433.883,149380.218,146877.469,147632.505,147405.519,143658.19199999998,142044.539,141142.26,140365.178,140403.951,143108.896,149317.052,156409.04,164330.279,167551.807,166895.596,161281.41,156895.223,151629.163,146800.331,141799.583,135427.607,132627.02,130982.21699999999,130989.082,124710.144,MRIM
159,10/05/2014,CITIPOWER,5577307.4,111303.43400000001,99238.56800000001,89263.964,81716.004,76570.55099999999,73169.765,70659.337,69077.349,67839.70599999999,67789.202,68595.828,70158.541,74434.733,79610.632,84897.595,94954.411,104840.951,113091.939,120795.523,125678.933,130462.896,131722.967,133051.982,133962.14,134335.491,133686.68300000002,135526.914,133409.045,129886.41900000001,129968.214,129142.088,128072.226,126158.231,128846.32400000001,136665.726,150530.354,158647.961,158940.603,154971.40099999998,150418.492,145819.84699999998,142175.238,137824.959,133251.435,131801.064,132183.831,133973.484,128184.41900000001,MRIM
160,11/05/2014,CITIPOWER,5193492.1219999995,115823.44699999999,103330.584,93131.597,85250.79400000001,79960.26,76077.339,73581.504,71932.442,71009.683,70465.188,70890.701,71878.439,75189.056,78978.609,81687.86099999999,90319.409,99273.976,105744.273,112935.64199999999,113739.992,114678.451,114040.306,115019.26,112570.76800000001,110529.871,109214.98,109346.689,106368.149,105492.026,104145.20300000001,104106.60699999999,104264.504,106042.23,112838.219,123299.881,139710.72199999998,150340.13199999998,153429.06699999998,151942.484,149084.801,146877.668,144424.30800000002,139907.46300000002,132970.445,127507.246,124230.026,123094.237,116815.58300000001,MRIM
161,12/05/2014,CITIPOWER,6090149.4860000005,103513.781,92323.436,83651.579,77275.1,72872.341,70329.849,68885.633,68082.055,68224.72099999999,68899.76,72559.019,78784.526,93660.975,114984.30099999999,133520.49,148360.508,152529.715,151704.062,152527.887,151227.642,149702.369,146782.689,144501.999,141854.25699999998,140276.47199999998,138439.654,138425.96300000002,136254.365,134282.50699999998,132914.076,131565.483,131584.211,133164.299,138069.039,146805.234,161201.469,170898.478,174479.753,172786.283,169196.568,164089.902,159397.97400000002,153574.76,144577.57,135938.885,130434.609,126531.40199999999,118501.836,MRIM
